name,type,status,latitude,longitude,address,state,region,country,zip,timeZone,Verified_Lat,Verified_Long,Match_Status,API_Status
UVA4,AFO,Active,37.57704,-77.47937,"4100 Tomlynn Street, Richmond, VA",VA,MA,United States,81637,America/New_York (UTC:-04:00),37.5780547,-77.4786723,Mismatch,OK
UVA5,AFO,Active,36.82322,-76.05252,"492 Central Drive, Virginia Beach, VA",VA,MA,United States,81401,America/New_York (UTC:-04:00),36.8233858,-76.0524189,Match,OK
UWA1,AFO,Active,47.70528,-122.18266,"11710 118th Avenue NE, Kirkland, WA",WA,NW,United States,81506,America/Los_Angeles (UTC:-07:00),47.705446,-122.1818605,Match,OK
UWA2,AFO,Active,47.72799,-122.34594,"13537 Aurora Avenue North, Seattle, WA",WA,NW,United States,80751,America/Los_Angeles (UTC:-07:00),47.7279869,-122.3459414,Match,OK
UWA4,AFO,Active,47.58114,-122.33573,"2401 Utah Avenue South, Seattle, WA",WA,NW,United States,19973,America/Los_Angeles (UTC:-07:00),47.5807589,-122.3353627,Match,OK
UWA5,AFO,Active,47.43621,-122.25691,"18323 Andover Park West, Tukwila, WA",WA,NW,United States,16506,America/Los_Angeles (UTC:-07:00),47.4367135,-122.256439,Match,OK
UWA6,AFO,Active,47.4197,-122.22672,"20202 84th Avenue South, Kent, WA",WA,NW,United States,95519,America/Los_Angeles (UTC:-07:00),47.4191929,-122.2266259,Match,OK
UWI2,AFO,Active,43.01179,-87.96328,"3935 West Mitchell Street, Milwaukee, WI",WI,GL,United States,39759,America/Chicago (UTC:-05:00),43.0120265,-87.9626934,Match,OK
VGT1,AR Sortable,Active,36.27184,-115.04442,"5802 E. Tropical Pkwy North, Las Vegas, NV",NV,SW,United States,99709,America/Los_Angeles (UTC:-07:00),36.2711351,-115.0447368,Match,OK
VGT2,IXD,Active,36.2565,-115.03077,"6401 Howdy Wells Ave, Las Vegas, NV",NV,SW,United States,87401,America/Los_Angeles (UTC:-07:00),36.257211,-115.0323216,Mismatch,OK
VGT5,Sort Center,Active,36.26003,-115.0273,"5549 N. Hollywood Blvd., Las Vegas, NV",NV,SW,United States,28734,America/Los_Angeles (UTC:-07:00),36.2613223,-115.0267834,Mismatch,OK
VXY1,SSD,Active,40.81514,-73.95406,"495 West 129th Street, New York, NY",NY,NE,United States,32303,America/New_York (UTC:-04:00),40.8149755,-73.954254,Match,OK
WBM3,RSR,Active,31.21759,-85.35328,"Kelley Dr and Beverlye Rd, Dothan, AL",AL,MS,United States,32404,America/Chicago (UTC:-05:00),31.2158621,-85.3512038,Mismatch,OK
WBV1,SPP,Active,38.7946,-106.53484,"1950 FM 511, Brownsville, TX",TX,TX,United States,32435,America/Denver (UTC:-06:00),26.0290982,-97.5325327,Mismatch,OK
WBW2,IXD,Active,41.46443,-75.58689,"1300 Corporate Way, Olyphant, PA",PA,NE,United States,33852,America/New_York (UTC:-04:00),41.464412,-75.586936,Match,OK
WCF6,SPP,Active,38.7946,-106.53484,"1775 North State Street, Ukiah, CA",CA,SW,United States,56537,America/Denver (UTC:-06:00),39.1731353,-123.2104259,Mismatch,OK
WCH2,RSR,Active,38.0804,-78.92823,"2712 West Main Street, Waynesboro, VA",VA,MA,United States,67846,America/New_York (UTC:-04:00),38.0805241,-78.9274129,Match,OK
WCO2,RSR,Active,39.63825,-106.91007,"SE & NE Intersections of Gilder WAy and Plane St., Gypsum, CO",CO,NW,United States,49735,America/Denver (UTC:-06:00),,,No Results,ZERO_RESULTS
WCO5,RSR,Active,38.51019,-107.89983,"SWC of Country Road, Montrose, CO",CO,NW,United States,31820,America/Denver (UTC:-06:00),38.523757,-107.783225,Mismatch,OK
WCO8,RSR,Active,39.12188,-108.54366,"800 Saccomanno Rd., Grand Junction, CO",CO,NW,United States,31210,America/Denver (UTC:-06:00),39.121971,-108.543624,Match,OK
WCO9,RSR,Active,40.62454,-103.27849,"13079 County Road 33, Sterling, CO",CO,NW,United States,31601,America/Denver (UTC:-06:00),40.624374,-103.2773434,Mismatch,OK
WDE1,RSR,Active,38.64041,-75.63713,"1700 Dulaney St, Seaford, DE",DE,NE,United States,30445,America/New_York (UTC:-04:00),38.640262,-75.6371379,Match,OK
WEE1,RSR,Active,42.09556,-80.13072,"2424 West 23rd St, Erie, PA",PA,NE,United States,31820,America/New_York (UTC:-04:00),42.095748,-80.130284,Match,OK
WEK1,RSR,Active,38.7946,-106.53484,"3110-3120 and 3159-3170 BOEING AVE., MCKINLEYVILLE, CA",CA,SW,United States,83402,America/Denver (UTC:-06:00),40.964812,-124.11447,Mismatch,OK
WET1,RSR,Active,33.49848,-88.82941,"115 Jack Wallace Boulevard, Starkville, MS",MS,MS,United States,83338,America/Chicago (UTC:-05:00),33.4981454,-88.8295212,Match,OK
WFB1,RSR,Active,64.83508,-147.79749,"3221 Airport Way, Fairbanks, AK",AK,AK,United States,61554,America/Anchorage (UTC:-08:00),64.8355682,-147.7993777,Mismatch,OK
WFG1,RSR,Active,36.73234,-108.16538,"160 S Browning Pkwy, Farmington, NM",NM,TX,United States,62702,America/Denver (UTC:-06:00),36.7263113,-108.1601379,Mismatch,OK
WFK1,RSR,Active,35.15816,-83.43613,"324 Industrial Park Rd, Franklin, NC",NC,MA,United States,61822,America/New_York (UTC:-04:00),35.1584309,-83.4362798,Match,OK
WFL2,RSR,Active,30.46843,-84.36675,"3799 Northwest Passage, Tallahassee, FL",FL,FL,United States,62305,America/New_York (UTC:-04:00),30.4688847,-84.3662196,Match,OK
WFL3,RSR,Active,30.27241,-85.51649,"7801 Commerce Boulevard, Panama City, FL",FL,FL,United States,61350,America/Chicago (UTC:-05:00),30.2725194,-85.5168049,Match,OK
WFL4,SPP,Active,38.7946,-106.53484,"1060 Mossy Head Plaza Drive, Defuniak Springs, FL",FL,FL,United States,47725,America/Denver (UTC:-06:00),30.737253,-86.328008,Mismatch,OK
WFL6,Delivery Station,Active,38.7946,-106.53484,"105 St Johns Street, Lake Placid, FL",FL,FL,United States,47905,America/Denver (UTC:-06:00),27.3285391,-81.3675693,Mismatch,OK
WFS1,Delivery Station,Active,46.28181,-96.09751,"1205 West Lincoln Avenue, Fergus Falls, MN",MN,GL,United States,47802,America/Chicago (UTC:-05:00),46.2818092,-96.0975091,Match,OK
